,bp_pos,sample,normalized_fluorescent_units,EXPERIMENT
109,133.6734693877551,Sample_1,0.2645010997884455,Control
110,136.73469387755102,Sample_1,0.2730640210641903,Control
111,139.79591836734693,Sample_1,0.28050551086299413,Control
112,142.85714285714286,Sample_1,0.286387236728156,Control
113,145.91836734693877,Sample_1,0.28987796945567335,Control
114,148.9795918367347,Sample_1,0.29102470813419384,Control
115,152.0408163265306,Sample_1,0.291250616435552,Control
116,155.10204081632654,Sample_1,0.28983673532800336,Control
117,158.16326530612244,Sample_1,0.28701102504816917,Control
118,161.22448979591837,Sample_1,0.2836870853441892,Control
119,164.28571428571428,Sample_1,0.2796586478665101,Control
120,167.34693877551018,Sample_1,0.2745359426263267,Control
121,170.40816326530611,Sample_1,0.26866007943334536,Control
122,173.46938775510205,Sample_1,0.2629344960705928,Control
123,176.53061224489795,Sample_1,0.2563038138343625,Control
124,179.59183673469386,Sample_1,0.2498176464673834,Control
125,182.6530612244898,Sample_1,0.24128941266870693,Control
126,185.7142857142857,Sample_1,0.23347388438478245,Control
127,188.77551020408163,Sample_1,0.2266532515699015,Control
128,191.83673469387756,Sample_1,0.219919093169684,Control
129,194.89795918367344,Sample_1,0.21275852307953272,Control
130,197.9591836734694,Sample_1,0.2063001056942083,Control
131,201.0204081632653,Sample_1,0.20024670124535862,Control
132,204.0816326530612,Sample_1,0.19388843784311902,Control
133,207.14285714285717,Sample_1,0.18821669335322475,Control
134,210.20408163265307,Sample_1,0.1824543705781406,Control
135,213.26530612244895,Sample_1,0.17657508749305398,Control
136,216.32653061224488,Sample_1,0.17121162184865493,Control
137,219.3877551020408,Sample_1,0.166552751689158,Control
138,222.44897959183675,Sample_1,0.16275491265058153,Control
139,225.51020408163265,Sample_1,0.1587241301040302,Control
140,228.57142857142856,Sample_1,0.15520877415335443,Control
141,231.6326530612245,Sample_1,0.15255063858668172,Control
142,234.6938775510204,Sample_1,0.1504091021503207,Control
143,237.75510204081635,Sample_1,0.14841090804877471,Control
144,240.81632653061223,Sample_1,0.14664428949836145,Control
145,243.87755102040816,Sample_1,0.14521799906803057,Control
146,246.93877551020407,Sample_1,0.1437755862892031,Control
147,250.0,Sample_1,0.1428404900764014,Control
148,253.4883720930233,Sample_1,0.14280160101760356,Control
149,256.9767441860465,Sample_1,0.14324599156889115,Control
150,260.4651162790698,Sample_1,0.14387007302251337,Control
151,263.95348837209303,Sample_1,0.14498857316336405,Control
152,267.4418604651163,Sample_1,0.14735914465957956,Control
153,270.93023255813955,Sample_1,0.15017156621580438,Control
154,274.4186046511628,Sample_1,0.15283908205796604,Control
155,277.90697674418607,Sample_1,0.15602700776735667,Control
156,281.3953488372093,Sample_1,0.1594528602560757,Control
157,284.8837209302326,Sample_1,0.1630329987343468,Control
158,288.37209302325584,Sample_1,0.16678579290833587,Control
159,291.8604651162791,Sample_1,0.17027076067487568,Control
160,295.3488372093023,Sample_1,0.17417754770480784,Control
161,298.8372093023256,Sample_1,0.17804124409421276,Control
162,302.3255813953488,Sample_1,0.18255550167325552,Control
163,305.8139534883721,Sample_1,0.1875178628293002,Control
164,309.30232558139534,Sample_1,0.1928146894332467,Control
165,312.7906976744186,Sample_1,0.1980442907295226,Control
166,316.27906976744185,Sample_1,0.20245096827405182,Control
167,319.7674418604651,Sample_1,0.20691754278602587,Control
168,323.2558139534884,Sample_1,0.21098252425363054,Control
169,326.74418604651163,Sample_1,0.21449006330806558,Control
170,330.2325581395349,Sample_1,0.21696977821804275,Control
171,333.72093023255815,Sample_1,0.21871333692454575,Control
172,337.2093023255814,Sample_1,0.22017363085352398,Control
173,340.69767441860466,Sample_1,0.22140850503715911,Control
174,344.1860465116279,Sample_1,0.22186071248468742,Control
175,347.6744186046512,Sample_1,0.22122304917384694,Control
176,351.16279069767444,Sample_1,0.220805822336996,Control
177,354.65116279069764,Sample_1,0.22079038396692047,Control
178,358.1395348837209,Sample_1,0.21993365213893243,Control
179,361.62790697674416,Sample_1,0.21832835478468798,Control
180,365.1162790697674,Sample_1,0.21698599827774237,Control
181,368.6046511627907,Sample_1,0.2155190599869595,Control
182,372.09302325581393,Sample_1,0.21353972414759437,Control
183,375.5813953488372,Sample_1,0.21173959065454878,Control
184,379.0697674418605,Sample_1,0.2098207380498466,Control
185,382.5581395348837,Sample_1,0.20702258232926118,Control
186,386.04651162790697,Sample_1,0.203900611681902,Control
